"Title","Year","Cited by","Link"
"OctopusTaint: Advanced Data Flow Analysis for Detecting Taint-Based Vulnerabilities in IoT/IIoT Firmware","2024","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85215516326&doi=10.1145%2f3658644.3690307&partnerID=40&md5=946fe2188ed84aa563587abc6bb647ca"
"A Practical Analysis of Persuasive and Dark Patterns for IIoT and Industrial Cyber-Physical Systems","2024","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85215311999&doi=10.1109%2fSENSORS60989.2024.10784940&partnerID=40&md5=21c56978866f800d519eca6b49a807df"
"Wrapper Based Linear Discriminant Analysis (LDA) for Intrusion Detection in IIoT","2023","6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85143771447&doi=10.32604%2fcsse.2023.025669&partnerID=40&md5=fb97cbe58f460f1c962e4aeaf04a0dea"
"Blockchain based distributed trust management in IoT and IIoT: a survey","2024","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85196087781&doi=10.1007%2fs11227-024-06286-4&partnerID=40&md5=27b6be49c18176c8ff30d5ec1b9d207e"
"Cybersecurity and data privacy vulnerability analysis for smart-self-powered sensors","2024","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85208885178&doi=10.1016%2fB978-0-443-13792-1.00013-4&partnerID=40&md5=0ebd4622463e429216e8a5d2145d6e7a"
"Review on intrusion detection system for IoT/IIoT -brief study","2024","5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85167503990&doi=10.1007%2fs11042-023-16395-6&partnerID=40&md5=7a271b9bfa4e7db63a9451adca9fef75"
"Cybersecurity Risk Analysis in the IoT: A Systematic Review","2023","14","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85172919903&doi=10.3390%2felectronics12183958&partnerID=40&md5=73f9c7c3cf8289647a98968fcdf693dc"
"A Review of Hybrid Cyber Threats Modelling and Detection Using Artificial Intelligence in IIoT","2024","2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85193714499&doi=10.32604%2fcmes.2024.046473&partnerID=40&md5=41f244c17cd125de868139edf6f09759"
"A Critical Review on Smart Maintenance Decision Support System based on IIoT technology","2022","1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146348914&doi=10.1109%2fICIT48603.2022.10002806&partnerID=40&md5=9cd36e28b648e97de4a3f7da51392c87"
"IIoT edge network security: Addressing spectrum scarcity through intrusion detection systems – a critical review","2024","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85206649906&doi=10.1201%2f9781003530572-9&partnerID=40&md5=7bffe8bdc50d0e7d36d877bff96255e5"
"Analysis of Recent IIoT Security Technology Trends in a Smart Factory Environment","2023","6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85151931029&doi=10.1109%2fICAIIC57133.2023.10067004&partnerID=40&md5=ff1c0f110398587efec60bb095c33249"
"Detecting Cybersecurity Attacks in Internet of Things Using Artificial Intelligence Methods: A Systematic Literature Review","2022","194","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122387869&doi=10.3390%2felectronics11020198&partnerID=40&md5=935d3274b03cc9808c51084d26143c60"
"Cybersecurity awareness in the context of the Industrial Internet of Things: A systematic literature review","2022","135","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123952339&doi=10.1016%2fj.compind.2022.103614&partnerID=40&md5=3135630dcfd5cf55ee67a3a710251f18"
"Towards Security- and IIoT-Aware BPMN: A Systematic Literature Review","2022","3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85161238011&doi=10.5220%2f0011317700003280&partnerID=40&md5=9171c64a5d6de28d1709f118f508ec34"
"Survey of Industrial Internet of Things (IIoT) in Industry Developments and Advanced Techniques","2024","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85198704077&doi=10.1109%2fICAAIC60222.2024.10575469&partnerID=40&md5=f85d7ca8f2243f6ee4d1a1bb9ef6bc9d"
"Cybersecurity in the Supply Chain and Logistics Industry: A Concept-Centric Review","2023","4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85174543143&doi=10.1007%2f978-981-99-5085-0_4&partnerID=40&md5=eece57f8893d3854e5f8f3a1482b3f58"
"Enhancing Cybersecurity Curriculum Development: AI-Driven Mapping and Optimization Techniques","2024","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85200331951&doi=10.1145%2f3664476.3670467&partnerID=40&md5=de917d6e68dad9ab18434aa91b57ac84"
"A Managerial Review and Guidelines for Industry 4.0 Factories on Cybersecurity","2022","2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146891306&partnerID=40&md5=99560c9b81c1f35bfa380095be151a12"
"The Cybersecurity Risks of Using Internet of Things (IoT) and Surveys of End-Users and Providers Within the Domiciliary Care Sector","2022","1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85143833627&doi=10.1109%2fSCIoT56583.2022.9953634&partnerID=40&md5=ea1a7549ad003e2122c4ed9155e5db9b"
"Enhancing Cybersecurity Policies with Blockchain Technology: A Survey","2022","36","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85151968356&doi=10.1109%2fIC3I56241.2022.10072588&partnerID=40&md5=e8cc79e7a3a2e2dfd890458668e67fcc"
"Traditional and Blockchain Based IoT and IIoT Security in the Context of Agriculture: A Survey","2023","3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85185918149&doi=10.1007%2fs11277-024-10866-1&partnerID=40&md5=4997089d033a0aecd6ab75a95bdc7b68"
"A Brief Review on Internet of Things, Industry 4.0 and Cybersecurity","2022","16","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85131175432&doi=10.3390%2felectronics11111742&partnerID=40&md5=13c581d69929251143525046eab3f26a"
"Exploring Security and Data Privacy Issues in Industrial Internet of Things (IIoT)—A Review","2024","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85215663903&doi=10.1007%2f978-3-031-71773-4_19&partnerID=40&md5=f5ff4b7a6a771e164b316d89e72145a7"
"IIoT implementation challenges: analysis and mitigation by blockchain","2022","44","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85118326794&doi=10.1108%2fJGOSS-08-2021-0056&partnerID=40&md5=68bdc3b4450ac196f8aa33cd783dd793"
"Secure Blockchain Middleware for Decentralized IIoT towards Industry 5.0: A Review of Architecture, Enablers, Challenges, and Directions","2022","46","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85140927874&doi=10.3390%2fmachines10100858&partnerID=40&md5=a4fe1cdf3f60444e63a73634414b6426"
"IIoT: Traffic Data Flow Analysis and Modeling Experiment for Smart IoT Devices","2022","13","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85148297707&doi=10.3390%2fsu142114645&partnerID=40&md5=fc041eb7063962e1e40b17871c1c1518"
"An Analysis of Cybersecurity Data Breach in the State of California","2023","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146234829&doi=10.1007%2f978-3-031-20160-8_10&partnerID=40&md5=145cde8a0bf44a4825e07a344353cd8b"
"Cybersecurity Threats, Vulnerabilities, Mitigation Measures in Industrial Control and Automation Systems: A Technical Review","2022","4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85148643553&doi=10.1109%2fCyber-RCI55324.2022.10032665&partnerID=40&md5=c2ddd3cd5336f1c134bf53cf7e9d1ffc"
"A review of cybersecurity for internet-of-things based on next generation healthcare networks","2023","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85177692281&doi=10.1063%2f5.0174729&partnerID=40&md5=a02a1ae5ecdb7ec433d26f4fa04ce434"
"Cybersecurity for Industrial IoT, Threats, Vulnerabilities, and Solutions: A Brief Review","2023","3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85174719770&doi=10.1007%2f978-981-99-3243-6_90&partnerID=40&md5=1921c04a27cdd33daed66f3f974d72ae"
"Cyber Security Standards for the Industrial Internet of Things (IIoT)- A Systematic Review","2022","11","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85133978932&doi=10.1109%2fHORA55278.2022.9799870&partnerID=40&md5=0e4ebb9755cee5bbc6eb7577f10fc2d4"
"Analysis of architectures implemented for IIoT","2023","9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146082257&doi=10.1016%2fj.heliyon.2023.e12868&partnerID=40&md5=8ad75ed8bcdd11608402f9084e2773b0"
"Perspectives of cybersecurity for ameliorative Industry 4.0 era: a review-based framework","2022","23","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85125049892&doi=10.1108%2fIR-10-2021-0243&partnerID=40&md5=51b28297701ecd7d05567088ae8addfc"
"A Novel Approach for Network Vulnerability Analysis in IIoT","2023","3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85136551106&doi=10.32604%2fcsse.2023.029680&partnerID=40&md5=6f1b1bf8e802f6aa5a48f74bf740bc5a"
"Non-IID federated learning via random exchange of local feature maps for textile IIoT secure computing","2022","10","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132981698&doi=10.1007%2fs11432-021-3423-9&partnerID=40&md5=2a7a105f57df1327fae7061bed83d534"
"Threat Analysis of 5G Technology Within IIoT Sensors","2022","1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85119004074&doi=10.1007%2f978-3-030-89906-6_26&partnerID=40&md5=0699a43a0ba13645f4acc1a05532a187"
"A Systematic Survey on Security Challenges for Fog-Enabled Internet of Things (IoT) and Industrial Internet of Things (IIoT)","2022","1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85138208675&doi=10.1007%2f978-3-031-08254-2_1&partnerID=40&md5=1e75b4dca5dff4b118a1248394d8bec0"
"IIoT system for monitoring and analysis of the transplanting process of the artichoke seedling","2022","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146426414&doi=10.1109%2fANDESCON56260.2022.9989611&partnerID=40&md5=36fe5140f791579c7f47a13b6ea0c959"
"Role of machine learning approach for industrial internet of things (IIoT) in cloud environment-a systematic review","2023","1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85178396301&doi=10.19101%2fIJATEE.2023.10101133&partnerID=40&md5=bb039ec3329d21352171238975c458ae"
"Cybersecurity Challenges in Electric Vehicles: An initial literature review and research agenda","2023","5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85161858877&doi=10.1109%2fSysCon53073.2023.10131069&partnerID=40&md5=fbc08e663a571bff95fb768a1ef9b1f5"
"Secure Smart Healthcare Monitoring in Industrial Internet of Things (IIoT) Ecosystem with Cosine Function Hybrid Chaotic Map Encryption","2022","25","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85128337161&doi=10.1155%2f2022%2f8853448&partnerID=40&md5=58908850bb5bc8e062946af3886cfdea"
"Bridging the Cybersecurity Gap: A Comprehensive Analysis of Threats to Power Systems, Water Storage, and Gas Network Industrial Control and Automation Systems","2024","3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85187452756&doi=10.3390%2felectronics13050837&partnerID=40&md5=a6bee6be64f54fb140d541f330b8406f"
"Analysis of ToN-IoT, UNW-NB15, and Edge-IIoT Datasets Using DL in Cybersecurity for IoT","2022","63","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139796853&doi=10.3390%2fapp12199572&partnerID=40&md5=da157e360c2f8c6f10993b437fda68d2"
"IoT Security Review: A Case Study of IIoT, IoV, and Smart Home","2022","5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85137132268&doi=10.1155%2f2022%2f6360553&partnerID=40&md5=90b09fe1cf1b275b130f86dc26014911"
"Cybersecurity and Data Stability Analysis of IoT Devices","2022","1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85172731443&doi=10.1109%2fPICST57299.2022.10238620&partnerID=40&md5=1793ea21689207e96a94b80025b74acc"
"Minimising cybersecurity risk exposures in industrial control system environments: a techno-human vulnerability analysis approach","2024","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85209641818&doi=10.1080%2f23742917.2024.2421589&partnerID=40&md5=7cddd4c59faf98983a7611a0762aa319"
"Analysis of Cyberthreats and Cybersecurity of IoT Devices","2023","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85177682952&doi=10.1063%2f5.0170907&partnerID=40&md5=e2a4b8dad0ac92e71bc666e2d6c7b2bc"
"CMAF-IIoT: Chaotic map-based authentication framework for Industrial Internet of Things","2023","32","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85168149143&doi=10.1016%2fj.iot.2023.100902&partnerID=40&md5=17d4b45fb516943b61c6f21de22e8ea6"
"Survey of Cybersecurity Governance, Threats, and Countermeasures for the Power Grid †","2022","11","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85142758120&doi=10.3390%2fen15228692&partnerID=40&md5=8912e0571785ec7180696f25568f4bab"
"Cybersecurity Maturity Models and SWOT Analysis","2023","2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85153393523&doi=10.1007%2f978-3-031-26845-8_7&partnerID=40&md5=83be6d1b341ccaa46dd1c7236ded9c6d"
